Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL
Modern 4 Bed Duplex +bq & Pool At Carlton Gate Estate,Duplex,"4 bedroom House for sale Carlton Gate Estate, Beside Kolapo Ishola Gra, Akobo Ibadan Oyo selling for ₦300,000,000.",300000000,4,4,5,"Carlton Gate Estate, Beside Kolapo Ishola Gra, Akobo Ibadan Oyo",Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-srrebBoPzyUlLgbLG90m.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-2cKVq105yLm9hYYZbUyz.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-ToMWZf5skJBYA5X0kQgD.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-HWApJzJdgknPn8uhHPyU.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-yYiHPa7BZfOmVfLIr5ra.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-Oh6ROKOPSjVDCVvCjPHO.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-6CUT6nyAcarns3VwpwmK.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-K3btFDD7B4kQAEqUH6gU.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-g9ixwhi6nbFPU6oI6GqE.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-9cBHWWMaHJBiXINQup2q.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-2np7Lf3giDAQ5gbtwlQK.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-jIKMw1IgRzLLVaXAbNMb.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-7WmgI6lExkBIz6R38Rwa.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-srcmCtnwEuqxS3NwkGsC.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-2EcPcZ4iwGfuOXh5img5.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-PFc8PZtrtdcf2nYXMEBw.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-1s6ItazIyeHoBXSFH0Ox.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-ZfAoLyGmJZpf3sQfGhdp.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-mJGVcxfckBTFzb26XsFm.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-zJiaNd4vouM9sm91XIPh.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-ClatWpzFYnGMpCn0H0Ft.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-xnPAMv1mHenqNN6XXIWr.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-ZlPW8kpqM8qRuGobag6x.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-nmWmoChZWL2RuX3W9RqQ.jpg"", ""https://images.propertypro.ng/large/exquisitely-finished-4-bedrooms-duplex-2k44vOAWcaT7c7zgA2XJ.jpg""]",Fully Furnished,"[""24 Hours Security"", ""Big Compound"", ""All Room Ensuit"", ""Drainage System""]",https://propertypro.ng/property/4-bedroom-house-for-sale-carlton-gate-estate-beside-kolapo-ishola-gra-akobo-ibadan-oyo-4NCCT
5 Bedroom Semi Detached House,Detached House,"5 bedroom House for sale Idu Abuja selling for ₦370,000,000.",370000000,5,5,6,Idu Abuja,Idu,Abuja,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-dNTQm1GYRBCgTaVMgP1F.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-lulxwmTypHuYcYW9zf7L.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-DSCyM3gfmumvFANYgDfT.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pBBu4zsb8o8xpYBbHbQp.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-TU4nC5LQ5B8Hiklp01RI.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-rNoSkJQTHOhTL17DwuzK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-y6TyxhpuFnBfJQbgdyQ6.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-p7j2SFAhxgLPjideowAi.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pPGm9FP9ufGF3BHx8TD7.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-deOdrQf0nfDUe3i0B7dd.jpeg""]",Fully Furnished,"[""Street Lights"", ""24 Hours Security"", ""Big Compound"", ""Restaurants Nearby"", ""All Room Ensuit"", ""POP Ceiling"", ""Drainage System"", ""Supermarket Nearby"", ""Parking Space"", ""Security"", ""Boys Quater"", ""Security doors"", ""Fast Internet""]",https://propertypro.ng/property/5-bedroom-house-for-sale-idu-abuja-0NVJU
4 Bedroom Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦150,000,000.",150000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-RNvcJw1yck7jOaDUg4lS.jpg""]",Fully Furnished,"[""24 Hours Security"", ""Children Play Ground"", ""Big Compound"", ""Parking Space""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-9NQKA
4 Bedroom Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦150,000,000.",150000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-RBEMOcjyEdjpoS82fTeC.jpg""]",Fully Furnished,"[""Children Play Ground"", ""24 Hours Security"", ""Big Compound"", ""Parking Space""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-0NQKB
Modern Contemporary 5 Bed Semi Detached Duplex,Detached Duplex,"4 bedroom House for sale Cowrie Creek Estate Ikate Lekki Lagos selling for ₦1,000,000,000.",1000000000,4,4,5,Cowrie Creek Estate Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-WRF9rjIUI0C09KQEDMOU.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-L0oDI3bcMy36fAP9DEYH.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-SOxoVSzaHqiyaYt8QRPL.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FfZfH66yFZF81XiqYBUK.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-OjxJE1rXWDQzLEQMcgk1.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZwOrSkpdGlt3zQ5X7zih.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-TDtLVY83OFvYMuxlIU89.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZgouDSo7gs0vJc3XcZjg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-79atGlw4xxEbyWi8F7Px.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-lgGm7b19HLBYbxsxyaFO.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-oYtyH8Yu9OVtzXH75oEN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-kmFKv5E5YDUtO8vLaQAc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-n1TiCqKu5oRPxZr3kdFu.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-BcQIGYC4NMEklATa4VaS.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-8NRk2JSTsLEPgQ5PxVzN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-0W5piBo2MQn0EAHibcsg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FlxVXNbckxdkSsSVHveE.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-z0vbjYFwATWgcnQXYLay.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-wZ7gQK4qbygkzSHHyOzc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-axBYXVfxeqkBydnRXCyn.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-mN8MzW9eloTGcT4fDszs.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""Drainage System"", ""Parking Space"", ""Ocean View"", ""C of O"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/4-bedroom-house-for-sale-cowrie-creek-estate-ikate-lekki-lagos-6PBYJ
Luxury 4 Bedroom Detached Bungalow,Bungalow,"4 bedroom House for sale Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju-Lekki Lagos selling for ₦80,000,000.",80000000,4,4,5,"Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju Lekki Lagos",Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-k7Uj3iVaNtVTMcNiPn9S.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-qdrZv6NwSxM0EozV3oVT.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-GQMTwzBCxgwPYs0oPQKW.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-txulpRkP5rgkszAAi4zI.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-Vl6qtkOvIJrQHvHVJAwg.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-w86HuR8R54YhbR8ohUYm.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-ZAt2gR7p8hTTZEwDcQP8.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-gf4zJtY8ySnCNb7lNdfs.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-Ei3fB4BEBZtWYYzNBBvd.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-t0gms1mXT46DMxBE3gQ2.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-AklOCfDcia8OIxN4MDQu.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-vEEcmR9phPwRKi0OqGux.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-WD2yqZlOvnxHJ98pBjqp.jpg""]",Fully Furnished,"[""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""CCTV Cameras"", ""Drainage System"", ""C of O""]",https://propertypro.ng/property/4-bedroom-house-for-sale-pan-atlantic-lakowe-golf-eleko-junction-ibeju-lekki-lagos-2PAEF
5 Bedroom Semi Detached Duplex,Detached Duplex,"5 bedroom House for sale Ikate Lekki Lagos selling for ₦330,000,000.",330000000,5,5,6,Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-6HnKN0KpdRX3GtE2KfMm.png"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-ks569KnU8zW9IZ9EouYb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YmtmtcLRMd0cw49TytQH.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YjQCsxoNFVocejVTQTWb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-8VcB4pIsZNVVNmKRQxlU.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-yaIval9EbU9kg9si8Hya.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-p2OdKY2XML7cq0JQIhbj.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-5gVdzZ0uMLgnGbGRSytK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-BGddXULyO6Yjzoqa3VOc.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-vuTr7sE1GoyHebJPPfVu.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-3BD4xeRXIUG1bPIxgclC.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-tcr3AG4cUZcovJpMuYcW.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-0xMdNm1nw8LyCgCcjc6U.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-dd2J8ehZrNDNsZsIpu0t.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-1NWNC
Newly Built 3 Bedroom Terrace Duplex With Bq,Terrace Duplex,"3 bedroom House for sale Jahi Abuja selling for ₦220,000,000.",220000000,3,3,4,Jahi Abuja,Jahi,Abuja,Nigeria,"[""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-CjNGHSOdbwBbttwYubyu.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-cfw6nfvAHyE2Mz0BAkPa.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-pXkodPrgDc1ouYekHBxQ.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-H8SbqS9ECWKt1Ue5Czlx.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-7xlrJRBwNAYj2ShiUmoI.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-DVY58dEYJNXHRqXmzTho.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-MOA2EmCbLa0QFxzBXYmR.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-fxp8o1BTpDMaNrYn9j2C.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-CU4osK6Vb32FlGfIHH87.jpg"", ""https://images.propertypro.ng/large/newly-built-3-bedroom-terrace-duplex-with-bq-4j3brFGk65nrcQ9XU7vt.jpg""]",Fully Furnished,"[""Street Lights"", ""All Room Ensuit"", ""POP Ceiling"", ""Security"", ""Security doors"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/3-bedroom-house-for-sale-jahi-abuja-1PBPN
5 Bedroom Semi Detached Duplex + Bq,Detached Duplex,"5 bedroom House for sale Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos selling for ₦210,000,000.",210000000,5,0,0,"Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos",Ajah,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-uG1CoUcpqZLP2JJt1LEQ.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-6sikVaRMxchWAc2NVAUB.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-WFktPREWgaRjFcaExXED.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-8Dfxff4kTWJ4y5iQM3a4.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-WqbYHZGtG6HSsguU9UUK.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-8oCZzHHZ01owpkvcQd6R.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-QxKwMOQI4PBBhv45RNe0.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-Z5rcI7DjcLLzv6umtX5R.jpg""]",Fully Furnished,"[""Swimming Pool"", ""Governor's Consent"", ""POP Ceiling"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palms-city-estate-off-lekki-epe-express-way-ado-road-ajah-lagos-3NWAU
